,name,link,salary_min,salary_max,currency,site,_id
0,Salesforce Administrator,https://voronezh.hh.ru/vacancy/46349505?from=vacancy_search_list&query=python,,,,hh.ru,46349505
1,Level Artist/Левел-дизайнер,https://voronezh.hh.ru/vacancy/48886929?from=vacancy_search_list&query=python,,,,hh.ru,48886929
2,Python developer/ Разработчик Python/Django (удаленно),https://voronezh.hh.ru/vacancy/48574680?from=vacancy_search_list&query=python,,,,hh.ru,48574680
3,Web-разработчик/стажер,https://voronezh.hh.ru/vacancy/48997579?from=vacancy_search_list&query=python,500.0,1500.0,USD,hh.ru,48997579
4,PHP-программист,https://voronezh.hh.ru/vacancy/43228554?from=vacancy_search_list&query=python,100000.0,250000.0,руб.,hh.ru,43228554
5,Системный администратор серверной инфраструктуры,https://voronezh.hh.ru/vacancy/44834922?from=vacancy_search_list&query=python,80000.0,120000.0,руб.,hh.ru,44834922
6,"Node.JS - разработчик (middle, senior)",https://voronezh.hh.ru/vacancy/46640198?from=vacancy_search_list&query=python,120000.0,200000.0,руб.,hh.ru,46640198
7,Backend-разработчик / Python developer (умные дома),https://voronezh.hh.ru/vacancy/48380601?from=vacancy_search_list&query=python,100000.0,200000.0,руб.,hh.ru,48380601
8,Администратор-координатор,https://voronezh.hh.ru/vacancy/49255637?from=vacancy_search_list&query=python,20000.0,200000.0,руб.,hh.ru,49255637
9,QA Automation Engineer (Цифровой профиль),https://voronezh.hh.ru/vacancy/49255436?from=vacancy_search_list&query=python,,,,hh.ru,49255436
10,Senior Data Engineer,https://voronezh.hh.ru/vacancy/49253758?from=vacancy_search_list&query=python,,,,hh.ru,49253758
11,Тестировщик,https://voronezh.hh.ru/vacancy/49252446?from=vacancy_search_list&query=python,,,,hh.ru,49252446
12,ИТ-менеджер,https://voronezh.hh.ru/vacancy/48719266?from=vacancy_search_list&query=python,,,,hh.ru,48719266
13,Аналитик логистических процессов,https://voronezh.hh.ru/vacancy/48700873?from=vacancy_search_list&query=python,,,,hh.ru,48700873
14,Backend-разработчик (удаленно),https://voronezh.hh.ru/vacancy/49242578?from=vacancy_search_list&query=python,,,,hh.ru,49242578
15,Data Analyst (Игровой аналитик),https://voronezh.hh.ru/vacancy/49104973?from=vacancy_search_list&query=python,,,,hh.ru,49104973
16,Преподаватель онлайн Python / Java для школьников и студентов,https://voronezh.hh.ru/vacancy/48689661?from=vacancy_search_list&query=python,60000.0,150000.0,руб.,hh.ru,48689661
17,Senior Linux Engineer,https://voronezh.hh.ru/vacancy/49229036?from=vacancy_search_list&query=python,,,,hh.ru,49229036
18,Java Developer (SBB),https://voronezh.hh.ru/vacancy/49070236?from=vacancy_search_list&query=python,,,,hh.ru,49070236
19,Ведущий AI/ML инженер,https://voronezh.hh.ru/vacancy/48677314?from=vacancy_search_list&query=python,,,,hh.ru,48677314
20,Преподаватель кружка программирования для детей,https://voronezh.hh.ru/vacancy/49112910?from=vacancy_search_list&query=python,20000.0,30000.0,руб.,hh.ru,49112910
21,Data engineer,https://voronezh.hh.ru/vacancy/48793228?from=vacancy_search_list&query=python,,,,hh.ru,48793228
22,Бизнес-аналитик с навыками интеграции различных платформ (удаленно),https://voronezh.hh.ru/vacancy/49197732?from=vacancy_search_list&query=python,77000.0,77000.0,руб.,hh.ru,49197732
23,QA инженер / Тестировщик,https://voronezh.hh.ru/vacancy/47775608?from=vacancy_search_list&query=python,80000.0,77000.0,руб.,hh.ru,47775608
24,Разработчик Backend,https://voronezh.hh.ru/vacancy/48769638?from=vacancy_search_list&query=python,,,,hh.ru,48769638
25,DevOps Engineer (English+),https://voronezh.hh.ru/vacancy/47913728?from=vacancy_search_list&query=python,120000.0,250000.0,руб.,hh.ru,47913728
26,"DevOps Engineer, remote",https://voronezh.hh.ru/vacancy/48436723?from=vacancy_search_list&query=python,150000.0,300000.0,руб.,hh.ru,48436723
27,Team Lead,https://voronezh.hh.ru/vacancy/46933811?from=vacancy_search_list&query=python,,,,hh.ru,46933811
28,.NET Developer,https://voronezh.hh.ru/vacancy/47182832?from=vacancy_search_list&query=python,,,,hh.ru,47182832
29,QA Engineer,https://voronezh.hh.ru/vacancy/48504170?from=vacancy_search_list&query=python,,,,hh.ru,48504170
30,JAVA-developer на микросервисы,https://voronezh.hh.ru/vacancy/49175875?from=vacancy_search_list&query=python,,,,hh.ru,49175875
31,Главный специалист по корпоративной безопасности,https://voronezh.hh.ru/vacancy/48293533?from=vacancy_search_list&query=python,,,,hh.ru,48293533
32,Специалист службы поддержки с техническими знаниями в Яндекс 360 (фронтенд),https://voronezh.hh.ru/vacancy/48360815?from=vacancy_search_list&query=python,,,,hh.ru,48360815
33,Специалист службы поддержки с техническими знаниями в Яндекс 360 (бэкенд),https://voronezh.hh.ru/vacancy/48361109?from=vacancy_search_list&query=python,,,,hh.ru,48361109
34,Специалист службы поддержки с техническими знаниями (TOOLS),https://voronezh.hh.ru/vacancy/48361562?from=vacancy_search_list&query=python,,,,hh.ru,48361562
35,Специалист службы поддержки с техническими знаниями / волкер,https://voronezh.hh.ru/vacancy/48360365?from=vacancy_search_list&query=python,,,,hh.ru,48360365
36,Specialist DevOps,https://voronezh.hh.ru/vacancy/41777050?from=vacancy_search_list&query=python,,280000.0,руб.,hh.ru,41777050
37,Senior Database Developer,https://voronezh.hh.ru/vacancy/48347261?from=vacancy_search_list&query=python,,,,hh.ru,48347261
38,"Senior System Architect (Unix/Linux, DevOps, POS, Public Clouds)",https://voronezh.hh.ru/vacancy/44113820?from=vacancy_search_list&query=python,,,,hh.ru,44113820
39,Специалист по эффективности маршрутов,https://voronezh.hh.ru/vacancy/49152696?from=vacancy_search_list&query=python,40000.0,60000.0,руб.,hh.ru,49152696
40,C# .Net разработчик,https://voronezh.hh.ru/vacancy/48602044?from=vacancy_search_list&query=python,100000.0,150000.0,руб.,hh.ru,48602044
41,Data engineer / Инженер данных,https://voronezh.hh.ru/vacancy/49140625?from=vacancy_search_list&query=python,,,,hh.ru,49140625
42,Ведущий QA engineer,https://voronezh.hh.ru/vacancy/49140208?from=vacancy_search_list&query=python,250000.0,,руб.,hh.ru,49140208
43,Senior Data Engineer,https://voronezh.hh.ru/vacancy/49129584?from=vacancy_search_list&query=python,,,,hh.ru,49129584
44,Стажёр - DevOps инженер,https://voronezh.hh.ru/vacancy/49117701?from=vacancy_search_list&query=python,,,,hh.ru,49117701
45,Ведущий специалист по тестированию Backend,https://voronezh.hh.ru/vacancy/49115542?from=vacancy_search_list&query=python,,,,hh.ru,49115542
46,Инженер по автоматизации тестирования,https://voronezh.hh.ru/vacancy/49110604?from=vacancy_search_list&query=python,,,,hh.ru,49110604
47,С++ Game Developer (Программист C++),https://voronezh.hh.ru/vacancy/49109123?from=vacancy_search_list&query=python,,,,hh.ru,49109123
48,DevOps-инженер (Системный Администратор),https://voronezh.hh.ru/vacancy/48354179?from=vacancy_search_list&query=python,,,,hh.ru,48354179
49,"Ведущий аналитик бизнес-процессов (по направлению ""Снабжение, продажи"")",https://voronezh.hh.ru/vacancy/47465497?from=vacancy_search_list&query=python,,,,hh.ru,47465497
50,Специалист службы поддержки с техническими знаниями (Яндекс ID),https://voronezh.hh.ru/vacancy/48037487?from=vacancy_search_list&query=python,15000.0,,руб.,hh.ru,48037487
51,Тестировщик ПО,https://voronezh.hh.ru/vacancy/47428177?from=vacancy_search_list&query=python,,,,hh.ru,47428177
52,Ведущий программист (С++),https://voronezh.hh.ru/vacancy/46097231?from=vacancy_search_list&query=python,75000.0,,руб.,hh.ru,46097231
53,Python Developer,https://voronezh.hh.ru/vacancy/48950437?from=vacancy_search_list&query=python,,,,hh.ru,48950437
54,IT recruiter,https://voronezh.hh.ru/vacancy/47434501?from=vacancy_search_list&query=python,,,,hh.ru,47434501
55,Devops,https://voronezh.hh.ru/vacancy/49074679?from=vacancy_search_list&query=python,,,,hh.ru,49074679
